model,dataset,noise,agent_num,accuracy
Llama-3.1-8B-Instruct,math,punctuation_50,10,0.36
Llama-3.1-8B-Instruct,math,punctuation_50,15,0.37
Llama-3.1-8B-Instruct,math,punctuation_50,20,0.38
Llama-3.1-8B-Instruct,math,punctuation_50,25,0.38
Llama-3.1-8B-Instruct,math,r2ata,1,0.23
Llama-3.1-8B-Instruct,math,r2ata,5,0.34
Llama-3.1-8B-Instruct,math,r2ata,10,0.43
Llama-3.1-8B-Instruct,math,r2ata,15,0.43
Llama-3.1-8B-Instruct,math,r2ata,20,0.45
Llama-3.1-8B-Instruct,math,r2ata,25,0.45
Llama-3.1-8B-Instruct,math,wikitypo,1,0.13
Llama-3.1-8B-Instruct,math,wikitypo,5,0.22
Llama-3.1-8B-Instruct,math,wikitypo,10,0.3
Llama-3.1-8B-Instruct,math,wikitypo,15,0.3
Llama-3.1-8B-Instruct,math,wikitypo,20,0.34
Llama-3.1-8B-Instruct,math,wikitypo,25,0.33
Llama-3.1-8B-Instruct,mmlu,clean,1,0.5155807365439093
Llama-3.1-8B-Instruct,mmlu,clean,5,0.607176581680831
Llama-3.1-8B-Instruct,mmlu,clean,10,0.6657223796033994
Llama-3.1-8B-Instruct,mmlu,clean,15,0.6779981114258735
Llama-3.1-8B-Instruct,mmlu,clean,20,0.6808309726156752
Llama-3.1-8B-Instruct,mmlu,clean,25,0.6855524079320113
Llama-3.1-8B-Instruct,mmlu,punctuation_10,1,0.4825306893295562
Llama-3.1-8B-Instruct,mmlu,punctuation_10,5,0.5741265344664778
Llama-3.1-8B-Instruct,mmlu,punctuation_10,10,0.6185080264400378
Llama-3.1-8B-Instruct,mmlu,punctuation_10,15,0.6383380547686497
Llama-3.1-8B-Instruct,mmlu,punctuation_10,20,0.6458923512747875
Llama-3.1-8B-Instruct,mmlu,punctuation_10,25,0.6628895184135978
Llama-3.1-8B-Instruct,mmlu,punctuation_30,1,0.4702549575070821
Llama-3.1-8B-Instruct,mmlu,punctuation_30,5,0.5741265344664778
Llama-3.1-8B-Instruct,mmlu,punctuation_30,10,0.6185080264400378
Llama-3.1-8B-Instruct,mmlu,punctuation_30,15,0.6241737488196412
Llama-3.1-8B-Instruct,mmlu,punctuation_30,20,0.6402266288951841
Llama-3.1-8B-Instruct,mmlu,punctuation_30,25,0.6345609065155807
Llama-3.1-8B-Instruct,mmlu,punctuation_50,1,0.4523135033050047
Llama-3.1-8B-Instruct,mmlu,punctuation_50,5,0.5410764872521246
Llama-3.1-8B-Instruct,mmlu,punctuation_50,10,0.5986779981114259
Llama-3.1-8B-Instruct,mmlu,punctuation_50,15,0.6118980169971672
Llama-3.1-8B-Instruct,mmlu,punctuation_50,20,0.6270066100094429
Llama-3.1-8B-Instruct,mmlu,punctuation_50,25,0.6241737488196412
Llama-3.1-8B-Instruct,mmlu,r2ata,1,0.5122180451127819
Llama-3.1-8B-Instruct,mmlu,r2ata,5,0.6137218045112782
Llama-3.1-8B-Instruct,mmlu,r2ata,10,0.6390977443609023
Llama-3.1-8B-Instruct,mmlu,r2ata,15,0.6550751879699248
Llama-3.1-8B-Instruct,mmlu,r2ata,20,0.6597744360902256
Llama-3.1-8B-Instruct,mmlu,r2ata,25,0.6719924812030075
Llama-3.1-8B-Instruct,mmlu,wikitypo,1,0.4343720491029273
Llama-3.1-8B-Instruct,mmlu,wikitypo,5,0.534466477809254
Llama-3.1-8B-Instruct,mmlu,wikitypo,10,0.5854579792256847
Llama-3.1-8B-Instruct,mmlu,wikitypo,15,0.5977337110481586
Llama-3.1-8B-Instruct,mmlu,wikitypo,20,0.6015108593012276
Llama-3.1-8B-Instruct,mmlu,wikitypo,25,0.607176581680831
Llama-3.1-8B-Instruct,multiarith,clean,1,0.7388888888888889
Llama-3.1-8B-Instruct,multiarith,clean,5,0.9833333333333333
Llama-3.1-8B-Instruct,multiarith,clean,10,0.9888888888888889
Llama-3.1-8B-Instruct,multiarith,clean,15,0.9944444444444445
Llama-3.1-8B-Instruct,multiarith,clean,20,0.9944444444444445
Llama-3.1-8B-Instruct,multiarith,clean,25,1.0
Llama-3.1-8B-Instruct,multiarith,punctuation_10,1,0.8111111111111111
Llama-3.1-8B-Instruct,multiarith,punctuation_10,5,0.9777777777777777
Llama-3.1-8B-Instruct,multiarith,punctuation_10,10,0.9888888888888889
Llama-3.1-8B-Instruct,multiarith,punctuation_10,15,0.9878787878787879
Llama-3.1-8B-Instruct,multiarith,punctuation_10,20,0.9888888888888889
Llama-3.1-8B-Instruct,multiarith,punctuation_10,25,0.9888888888888889
Llama-3.1-8B-Instruct,multiarith,punctuation_30,1,0.7333333333333333
Llama-3.1-8B-Instruct,multiarith,punctuation_30,5,0.9222222222222223
Llama-3.1-8B-Instruct,multiarith,punctuation_30,10,0.95
Llama-3.1-8B-Instruct,multiarith,punctuation_30,15,0.9611111111111111
Llama-3.1-8B-Instruct,multiarith,punctuation_30,20,0.9611111111111111
Llama-3.1-8B-Instruct,multiarith,punctuation_30,25,0.9611111111111111
Llama-3.1-8B-Instruct,multiarith,punctuation_50,1,0.7222222222222222
Llama-3.1-8B-Instruct,multiarith,punctuation_50,5,0.9222222222222223
Llama-3.1-8B-Instruct,multiarith,punctuation_50,10,0.9333333333333333
Llama-3.1-8B-Instruct,multiarith,punctuation_50,15,0.9388888888888889
Llama-3.1-8B-Instruct,multiarith,punctuation_50,20,0.9388888888888889
Llama-3.1-8B-Instruct,multiarith,punctuation_50,25,0.9444444444444444
Llama-3.1-8B-Instruct,multiarith,r2ata,1,0.8111111111111111
Llama-3.1-8B-Instruct,multiarith,r2ata,5,0.9777777777777777
Llama-3.1-8B-Instruct,multiarith,r2ata,10,0.9888888888888889
Llama-3.1-8B-Instruct,multiarith,r2ata,15,0.9944444444444445
Llama-3.1-8B-Instruct,multiarith,r2ata,20,0.9888888888888889
Llama-3.1-8B-Instruct,multiarith,r2ata,25,0.9888888888888889
Llama-3.1-8B-Instruct,multiarith,wikitypo,1,0.7555555555555555
Llama-3.1-8B-Instruct,multiarith,wikitypo,5,0.9888888888888889
Llama-3.1-8B-Instruct,multiarith,wikitypo,10,1.0
Llama-3.1-8B-Instruct,multiarith,wikitypo,15,1.0
Llama-3.1-8B-Instruct,multiarith,wikitypo,20,1.0
Llama-3.1-8B-Instruct,multiarith,wikitypo,25,1.0
Mistral-7B-Instruct-v0.3,gsm,clean,1,0.4245640636846095
Mistral-7B-Instruct-v0.3,gsm,clean,5,0.5951478392721758
Mistral-7B-Instruct-v0.3,gsm,clean,10,0.6830932524639879
Mistral-7B-Instruct-v0.3,gsm,clean,15,0.7119029567854435
Mistral-7B-Instruct-v0.3,gsm,clean,20,0.7384382107657316
Mistral-7B-Instruct-v0.3,gsm,clean,25,0.7482941622441244
Mistral-7B-Instruct-v0.3,gsm,punctuation_10,1,0.3995451099317665
Mistral-7B-Instruct-v0.3,gsm,punctuation_10,5,0.5610310841546626
Mistral-7B-Instruct-v0.3,gsm,punctuation_10,10,0.640636846095527
Mistral-7B-Instruct-v0.3,gsm,punctuation_10,15,0.6739954510993177
Mistral-7B-Instruct-v0.3,gsm,punctuation_10,20,0.6967399545109931
Mistral-7B-Instruct-v0.3,gsm,punctuation_10,25,0.7065959059893859
Mistral-7B-Instruct-v0.3,gsm,punctuation_30,1,0.3707354056103108
Mistral-7B-Instruct-v0.3,gsm,punctuation_30,5,0.5094768764215315
Mistral-7B-Instruct-v0.3,gsm,punctuation_30,10,0.599696739954511
Mistral-7B-Instruct-v0.3,gsm,punctuation_30,15,0.6353297952994693
Mistral-7B-Instruct-v0.3,gsm,punctuation_30,20,0.6489764973464746
Mistral-7B-Instruct-v0.3,gsm,punctuation_30,25,0.6709628506444276
Mistral-7B-Instruct-v0.3,gsm,punctuation_50,1,0.33358605003790753
Mistral-7B-Instruct-v0.3,gsm,punctuation_50,5,0.4670204700530705
Mistral-7B-Instruct-v0.3,gsm,punctuation_50,10,0.5807429871114481
Mistral-7B-Instruct-v0.3,gsm,punctuation_50,15,0.6178923426838514
Mistral-7B-Instruct-v0.3,gsm,punctuation_50,20,0.6322971948445792
Mistral-7B-Instruct-v0.3,gsm,punctuation_50,25,0.6474601971190296
Mistral-7B-Instruct-v0.3,gsm,r2ata,1,0.36997725549658833
Mistral-7B-Instruct-v0.3,gsm,r2ata,5,0.5193328278999242
Mistral-7B-Instruct-v0.3,gsm,r2ata,10,0.6110689916603488
Mistral-7B-Instruct-v0.3,gsm,r2ata,15,0.6467020470053071
Mistral-7B-Instruct-v0.3,gsm,r2ata,20,0.6603487490523123
Mistral-7B-Instruct-v0.3,gsm,r2ata,25,0.6747536012130402
Mistral-7B-Instruct-v0.3,gsm,wikitypo,1,0.2805155420773313
Mistral-7B-Instruct-v0.3,gsm,wikitypo,5,0.3707354056103108
Mistral-7B-Instruct-v0.3,gsm,wikitypo,10,0.43290371493555724
Mistral-7B-Instruct-v0.3,gsm,wikitypo,15,0.4624715693707354
Mistral-7B-Instruct-v0.3,gsm,wikitypo,20,0.48597422289613346
Mistral-7B-Instruct-v0.3,gsm,wikitypo,25,0.49962092494313876
Mistral-7B-Instruct-v0.3,math,clean,1,0.03
Mistral-7B-Instruct-v0.3,math,clean,5,0.08
Mistral-7B-Instruct-v0.3,math,clean,10,0.16
Mistral-7B-Instruct-v0.3,math,clean,15,0.16
Mistral-7B-Instruct-v0.3,math,clean,20,0.18
Mistral-7B-Instruct-v0.3,math,clean,25,0.18
Mistral-7B-Instruct-v0.3,math,punctuation_10,1,0.04
Mistral-7B-Instruct-v0.3,math,punctuation_10,5,0.07
Mistral-7B-Instruct-v0.3,math,punctuation_10,10,0.12
Mistral-7B-Instruct-v0.3,math,punctuation_10,15,0.13
Mistral-7B-Instruct-v0.3,math,punctuation_10,20,0.13
Mistral-7B-Instruct-v0.3,math,punctuation_10,25,0.13
Mistral-7B-Instruct-v0.3,math,punctuation_30,1,0.07
Mistral-7B-Instruct-v0.3,math,punctuation_30,5,0.07
Mistral-7B-Instruct-v0.3,math,punctuation_30,10,0.11
Mistral-7B-Instruct-v0.3,math,punctuation_30,15,0.14
Mistral-7B-Instruct-v0.3,math,punctuation_30,20,0.14
Mistral-7B-Instruct-v0.3,math,punctuation_30,25,0.13
Mistral-7B-Instruct-v0.3,math,punctuation_50,1,0.04
Mistral-7B-Instruct-v0.3,math,punctuation_50,5,0.05
Mistral-7B-Instruct-v0.3,math,punctuation_50,10,0.06
Mistral-7B-Instruct-v0.3,math,punctuation_50,15,0.1
Mistral-7B-Instruct-v0.3,math,punctuation_50,20,0.09
Mistral-7B-Instruct-v0.3,math,punctuation_50,25,0.1
Mistral-7B-Instruct-v0.3,math,r2ata,1,0.05
Mistral-7B-Instruct-v0.3,math,r2ata,5,0.09
Mistral-7B-Instruct-v0.3,math,r2ata,10,0.1
Mistral-7B-Instruct-v0.3,math,r2ata,15,0.12
Mistral-7B-Instruct-v0.3,math,r2ata,20,0.11
Mistral-7B-Instruct-v0.3,math,r2ata,25,0.13
Mistral-7B-Instruct-v0.3,math,wikitypo,1,0.03
Mistral-7B-Instruct-v0.3,math,wikitypo,5,0.06
Mistral-7B-Instruct-v0.3,math,wikitypo,10,0.07
Mistral-7B-Instruct-v0.3,math,wikitypo,15,0.1
Mistral-7B-Instruct-v0.3,math,wikitypo,20,0.11
Mistral-7B-Instruct-v0.3,math,wikitypo,25,0.12
Mistral-7B-Instruct-v0.3,mmlu,clean,1,0.37016052880075545
Mistral-7B-Instruct-v0.3,mmlu,clean,5,0.42398489140698775
Mistral-7B-Instruct-v0.3,mmlu,clean,10,0.44192634560906513
Mistral-7B-Instruct-v0.3,mmlu,clean,15,0.4400377714825307
Mistral-7B-Instruct-v0.3,mmlu,clean,20,0.4466477809254013
Mistral-7B-Instruct-v0.3,mmlu,clean,25,0.45514636449480644
Mistral-7B-Instruct-v0.3,mmlu,punctuation_10,1,0.3607176581680831
Mistral-7B-Instruct-v0.3,mmlu,punctuation_10,5,0.42398489140698775
Mistral-7B-Instruct-v0.3,mmlu,punctuation_10,10,0.43342776203966005
Mistral-7B-Instruct-v0.3,mmlu,punctuation_10,15,0.43626062322946174
Mistral-7B-Instruct-v0.3,mmlu,punctuation_10,20,0.437204910292729
Mistral-7B-Instruct-v0.3,mmlu,punctuation_10,25,0.4485363550519358
Mistral-7B-Instruct-v0.3,mmlu,punctuation_30,1,0.34844192634560905
Mistral-7B-Instruct-v0.3,mmlu,punctuation_30,5,0.4003777148253069
Mistral-7B-Instruct-v0.3,mmlu,punctuation_30,10,0.42870632672332387
Mistral-7B-Instruct-v0.3,mmlu,punctuation_30,15,0.43342776203966005
Mistral-7B-Instruct-v0.3,mmlu,punctuation_30,20,0.4381491973559962
Mistral-7B-Instruct-v0.3,mmlu,punctuation_30,25,0.437204910292729
Mistral-7B-Instruct-v0.3,mmlu,punctuation_50,1,0.3635505193578848
Mistral-7B-Instruct-v0.3,mmlu,punctuation_50,5,0.40793201133144474
Mistral-7B-Instruct-v0.3,mmlu,punctuation_50,10,0.408876298394712
Mistral-7B-Instruct-v0.3,mmlu,punctuation_50,15,0.4202077431539188
Mistral-7B-Instruct-v0.3,mmlu,punctuation_50,20,0.42209631728045327
Mistral-7B-Instruct-v0.3,mmlu,punctuation_50,25,0.4258734655335222
Mistral-7B-Instruct-v0.3,mmlu,r2ata,1,0.37969924812030076
Mistral-7B-Instruct-v0.3,mmlu,r2ata,5,0.41635338345864664
Mistral-7B-Instruct-v0.3,mmlu,r2ata,10,0.4426691729323308
Mistral-7B-Instruct-v0.3,mmlu,r2ata,15,0.45206766917293234
Mistral-7B-Instruct-v0.3,mmlu,r2ata,20,0.45300751879699247
Mistral-7B-Instruct-v0.3,mmlu,r2ata,25,0.4473684210526316
Mistral-7B-Instruct-v0.3,mmlu,wikitypo,1,0.31916902738432484
Mistral-7B-Instruct-v0.3,mmlu,wikitypo,5,0.3692162417374882
Mistral-7B-Instruct-v0.3,mmlu,wikitypo,10,0.3947119924457035
Mistral-7B-Instruct-v0.3,mmlu,wikitypo,15,0.408876298394712
Mistral-7B-Instruct-v0.3,mmlu,wikitypo,20,0.40793201133144474
Mistral-7B-Instruct-v0.3,mmlu,wikitypo,25,0.41076487252124644
Mistral-7B-Instruct-v0.3,multiarith,clean,1,0.6944444444444444
Mistral-7B-Instruct-v0.3,multiarith,clean,5,0.9333333333333333
Mistral-7B-Instruct-v0.3,multiarith,clean,10,0.95
Mistral-7B-Instruct-v0.3,multiarith,clean,15,0.9611111111111111
Mistral-7B-Instruct-v0.3,multiarith,clean,20,0.9722222222222222
Mistral-7B-Instruct-v0.3,multiarith,clean,25,0.9944444444444445
Mistral-7B-Instruct-v0.3,multiarith,punctuation_10,1,0.6833333333333333
Mistral-7B-Instruct-v0.3,multiarith,punctuation_10,5,0.9111111111111111
Mistral-7B-Instruct-v0.3,multiarith,punctuation_10,10,0.9555555555555556
Mistral-7B-Instruct-v0.3,multiarith,punctuation_10,15,0.9611111111111111
Mistral-7B-Instruct-v0.3,multiarith,punctuation_10,20,0.9777777777777777
Mistral-7B-Instruct-v0.3,multiarith,punctuation_10,25,0.9777777777777777
Mistral-7B-Instruct-v0.3,multiarith,punctuation_30,1,0.6277777777777778
Mistral-7B-Instruct-v0.3,multiarith,punctuation_30,5,0.8722222222222222
Mistral-7B-Instruct-v0.3,multiarith,punctuation_30,10,0.9166666666666666
Mistral-7B-Instruct-v0.3,multiarith,punctuation_30,15,0.9277777777777778
Mistral-7B-Instruct-v0.3,multiarith,punctuation_30,20,0.9444444444444444
Mistral-7B-Instruct-v0.3,multiarith,punctuation_30,25,0.95
Mistral-7B-Instruct-v0.3,multiarith,punctuation_50,1,0.6166666666666667
Mistral-7B-Instruct-v0.3,multiarith,punctuation_50,5,0.8444444444444444
Mistral-7B-Instruct-v0.3,multiarith,punctuation_50,10,0.9055555555555556
Mistral-7B-Instruct-v0.3,multiarith,punctuation_50,15,0.9055555555555556
Mistral-7B-Instruct-v0.3,multiarith,punctuation_50,20,0.9444444444444444
Mistral-7B-Instruct-v0.3,multiarith,punctuation_50,25,0.9388888888888889
Mistral-7B-Instruct-v0.3,multiarith,r2ata,1,0.6611111111111111
Mistral-7B-Instruct-v0.3,multiarith,r2ata,5,0.8611111111111112
Mistral-7B-Instruct-v0.3,multiarith,r2ata,10,0.9333333333333333
Mistral-7B-Instruct-v0.3,multiarith,r2ata,15,0.9444444444444444
Mistral-7B-Instruct-v0.3,multiarith,r2ata,20,0.9444444444444444
Mistral-7B-Instruct-v0.3,multiarith,r2ata,25,0.9611111111111111
Mistral-7B-Instruct-v0.3,multiarith,wikitypo,1,0.6555555555555556
Mistral-7B-Instruct-v0.3,multiarith,wikitypo,5,0.9111111111111111
Mistral-7B-Instruct-v0.3,multiarith,wikitypo,10,0.9722222222222222
Mistral-7B-Instruct-v0.3,multiarith,wikitypo,15,0.9888888888888889
Mistral-7B-Instruct-v0.3,multiarith,wikitypo,20,0.9833333333333333
Mistral-7B-Instruct-v0.3,multiarith,wikitypo,25,1.0
Qwen3-14B,gsm,clean,1,0.868081880212282
Qwen3-14B,gsm,clean,5,0.9203942380591357
Qwen3-14B,gsm,clean,10,0.9317664897649734
Qwen3-14B,gsm,clean,15,0.9325246398786959
Qwen3-14B,gsm,clean,20,0.934040940106141
Qwen3-14B,gsm,clean,25,0.9347990902198635
Qwen3-14B,gsm,punctuation_10,1,0.8673237300985596
Qwen3-14B,gsm,punctuation_10,5,0.9112964366944655
Qwen3-14B,gsm,punctuation_10,10,0.9234268385140257
Qwen3-14B,gsm,punctuation_10,15,0.9264594389689158
Qwen3-14B,gsm,punctuation_10,20,0.9287338893100834
Qwen3-14B,gsm,punctuation_10,25,0.9302501895375285
Qwen3-14B,gsm,punctuation_30,1,0.8536770280515542
Qwen3-14B,gsm,punctuation_30,5,0.9097801364670205
Qwen3-14B,gsm,punctuation_30,10,0.9196360879454132
Qwen3-14B,gsm,punctuation_30,15,0.9203942380591357
Qwen3-14B,gsm,punctuation_30,20,0.9264594389689158
Qwen3-14B,gsm,punctuation_30,25,0.9279757391963609
Qwen3-14B,gsm,punctuation_50,1,0.868081880212282
Qwen3-14B,gsm,punctuation_50,5,0.913570887035633
Qwen3-14B,gsm,punctuation_50,10,0.9272175890826384
Qwen3-14B,gsm,punctuation_50,15,0.9347990902198635
Qwen3-14B,gsm,punctuation_50,20,0.9363153904473086
Qwen3-14B,gsm,punctuation_50,25,0.9347990902198635
Qwen3-14B,gsm,r2ata,1,0.8567096285064443
Qwen3-14B,gsm,r2ata,5,0.9037149355572404
Qwen3-14B,gsm,r2ata,10,0.9150871872630781
Qwen3-14B,gsm,r2ata,15,0.9211523881728583
Qwen3-14B,gsm,r2ata,20,0.9226686884003032
Qwen3-14B,gsm,r2ata,25,0.9211523881728583
Qwen3-14B,gsm,wikitypo,1,0.7429871114480667
Qwen3-14B,gsm,wikitypo,5,0.8059135708870356
Qwen3-14B,gsm,wikitypo,10,0.8165276724791509
Qwen3-14B,gsm,wikitypo,15,0.8294162244124337
Qwen3-14B,gsm,wikitypo,20,0.8316906747536013
Qwen3-14B,gsm,wikitypo,25,0.8332069749810462
Qwen3-14B,math,clean,1,0.53
Qwen3-14B,math,clean,5,0.57
Qwen3-14B,math,clean,10,0.56
Qwen3-14B,math,clean,15,0.55
Qwen3-14B,math,clean,20,0.57
Qwen3-14B,math,clean,25,0.54
Qwen3-14B,math,punctuation_10,1,0.49
Qwen3-14B,math,punctuation_10,5,0.52
Qwen3-14B,math,punctuation_10,10,0.51
Qwen3-14B,math,punctuation_10,15,0.49
Qwen3-14B,math,punctuation_10,20,0.51
Qwen3-14B,math,punctuation_10,25,0.5
Qwen3-14B,math,punctuation_30,1,0.47
Qwen3-14B,math,punctuation_30,5,0.48
Qwen3-14B,math,punctuation_30,10,0.49
Qwen3-14B,math,punctuation_30,15,0.48
Qwen3-14B,math,punctuation_30,20,0.5
Qwen3-14B,math,punctuation_30,25,0.49
Qwen3-14B,math,punctuation_50,1,0.45
Qwen3-14B,math,punctuation_50,5,0.5
Qwen3-14B,math,punctuation_50,10,0.5
Qwen3-14B,math,punctuation_50,15,0.49
Qwen3-14B,math,punctuation_50,20,0.5
Qwen3-14B,math,punctuation_50,25,0.49
Qwen3-14B,math,r2ata,1,0.48
Qwen3-14B,math,r2ata,5,0.5
Qwen3-14B,math,r2ata,10,0.5
Qwen3-14B,math,r2ata,15,0.5
Qwen3-14B,math,r2ata,20,0.5
Qwen3-14B,math,r2ata,25,0.5
Qwen3-14B,math,wikitypo,1,0.48
Qwen3-14B,math,wikitypo,5,0.47
Qwen3-14B,math,wikitypo,10,0.49
Qwen3-14B,math,wikitypo,15,0.47
Qwen3-14B,math,wikitypo,20,0.47
Qwen3-14B,math,wikitypo,25,0.46
Qwen3-14B,mmlu,clean,1,0.8215297450424929
Qwen3-14B,mmlu,clean,5,0.8328611898016998
Qwen3-14B,mmlu,clean,10,0.842304060434372
Qwen3-14B,mmlu,clean,15,0.830028328611898
Qwen3-14B,mmlu,clean,20,0.8356940509915014
Qwen3-14B,mmlu,clean,25,0.8319169027384324
Qwen3-14B,mmlu,punctuation_10,1,0.8168083097261567
Qwen3-14B,mmlu,punctuation_10,5,0.8215297450424929
Qwen3-14B,mmlu,punctuation_10,10,0.8271954674220963
Qwen3-14B,mmlu,punctuation_10,15,0.8281397544853636
Qwen3-14B,mmlu,punctuation_10,20,0.8253068932955618
Qwen3-14B,mmlu,punctuation_10,25,0.830028328611898
Qwen3-14B,mmlu,punctuation_30,1,0.8186968838526912
Qwen3-14B,mmlu,punctuation_30,5,0.8347497639282342
Qwen3-14B,mmlu,punctuation_30,10,0.826251180358829
Qwen3-14B,mmlu,punctuation_30,15,0.826251180358829
Qwen3-14B,mmlu,punctuation_30,20,0.8271954674220963
Qwen3-14B,mmlu,punctuation_30,25,0.830028328611898
Qwen3-14B,mmlu,punctuation_50,1,0.7988668555240793
Qwen3-14B,mmlu,punctuation_50,5,0.8224740321057602
Qwen3-14B,mmlu,punctuation_50,10,0.8224740321057602
Qwen3-14B,mmlu,punctuation_50,15,0.8234183191690274
Qwen3-14B,mmlu,punctuation_50,20,0.8271954674220963
Qwen3-14B,mmlu,punctuation_50,25,0.8205854579792257
Qwen3-14B,mmlu,r2ata,1,0.8007518796992481
Qwen3-14B,mmlu,r2ata,5,0.8214285714285714
Qwen3-14B,mmlu,r2ata,10,0.818609022556391
Qwen3-14B,mmlu,r2ata,15,0.8214285714285714
Qwen3-14B,mmlu,r2ata,20,0.825187969924812
Qwen3-14B,mmlu,r2ata,25,0.8270676691729323
Qwen3-14B,mmlu,wikitypo,1,0.7809254013220018
Qwen3-14B,mmlu,wikitypo,5,0.7998111425873465
Qwen3-14B,mmlu,wikitypo,10,0.8035882908404155
Qwen3-14B,mmlu,wikitypo,15,0.8016997167138811
Qwen3-14B,mmlu,wikitypo,20,0.8064211520302171
Qwen3-14B,mmlu,wikitypo,25,0.8045325779036827
Qwen3-14B,multiarith,clean,1,0.9777777777777777
Qwen3-14B,multiarith,clean,5,0.9944444444444445
Qwen3-14B,multiarith,clean,10,0.9944444444444445
Qwen3-14B,multiarith,clean,15,0.9944444444444445
Qwen3-14B,multiarith,clean,20,0.9944444444444445
Qwen3-14B,multiarith,clean,25,0.9944444444444445
Qwen3-14B,multiarith,punctuation_10,1,0.9777777777777777
Qwen3-14B,multiarith,punctuation_10,5,0.9888888888888889
Qwen3-14B,multiarith,punctuation_10,10,0.9833333333333333
Qwen3-14B,multiarith,punctuation_10,15,0.9833333333333333
Qwen3-14B,multiarith,punctuation_10,20,0.9833333333333333
Qwen3-14B,multiarith,punctuation_10,25,0.9833333333333333
Qwen3-14B,multiarith,punctuation_30,1,0.9777777777777777
Qwen3-14B,multiarith,punctuation_30,5,0.9833333333333333
Qwen3-14B,multiarith,punctuation_30,10,0.9888888888888889
Qwen3-14B,multiarith,punctuation_30,15,0.9833333333333333
