dataset,noise,model,k,k_accuracies
gsm,clean,Llama-3.1-8B-Instruct,15,"[0.90371494 0.89764973 0.90523124 0.90144049 0.90598939 0.90674754
 0.90598939 0.91053829 0.90598939 0.90750569 0.90371494]"
gsm,clean,Llama-3.1-8B-Instruct,20,[0.90902199 0.90902199 0.91205459 0.91129644 0.91281274 0.91205459]
gsm,clean,Llama-3.1-8B-Instruct,25,[0.91281274]
math,clean,Llama-3.1-8B-Instruct,1,"[0.25 0.22 0.25 0.25 0.19 0.21 0.22 0.2  0.27 0.21 0.27 0.2  0.24 0.22
 0.26 0.23 0.27 0.23 0.23 0.27 0.2  0.22 0.27 0.17 0.28]"
math,clean,Llama-3.1-8B-Instruct,5,"[0.35 0.34 0.36 0.35 0.32 0.31 0.39 0.36 0.38 0.39 0.41 0.39 0.4  0.39
 0.38 0.41 0.35 0.36 0.36 0.39 0.38]"
math,clean,Llama-3.1-8B-Instruct,10,"[0.46 0.46 0.47 0.47 0.44 0.45 0.46 0.44 0.47 0.48 0.49 0.48 0.48 0.44
 0.48 0.48]"
math,clean,Llama-3.1-8B-Instruct,15,[0.52 0.51 0.52 0.49 0.5  0.51 0.49 0.46 0.52 0.53 0.52]
math,clean,Llama-3.1-8B-Instruct,20,[0.53 0.53 0.52 0.49 0.48 0.5 ]
math,clean,Llama-3.1-8B-Instruct,25,[0.54]
mmlu,clean,Llama-3.1-8B-Instruct,1,"[0.51558074 0.52124646 0.51558074 0.5184136  0.52407932 0.51274788
 0.52880076 0.52596789 0.51652502 0.5325779  0.52407932 0.51935788
 0.50141643 0.50708215 0.5325779  0.5184136  0.47780925 0.53824363
 0.52785647 0.51652502 0.54957507 0.48536355 0.50519358 0.52313503
 0.52124646]"
mmlu,clean,Llama-3.1-8B-Instruct,5,"[0.60717658 0.6128423  0.63644948 0.63550519 0.62700661 0.62700661
 0.63550519 0.64494806 0.62134089 0.62511804 0.61378659 0.60906516
 0.60339943 0.61567517 0.62134089 0.61756374 0.62606232 0.63456091
 0.63456091 0.62134089 0.62322946]"
mmlu,clean,Llama-3.1-8B-Instruct,10,"[0.66572238 0.66949953 0.66666667 0.68366383 0.6713881  0.66194523
 0.66288952 0.65911237 0.65439093 0.67044381 0.66855524 0.65627951
 0.65439093 0.65155807 0.65627951 0.63833805]"
mmlu,clean,Llama-3.1-8B-Instruct,15,"[0.67799811 0.67988669 0.68177526 0.67988669 0.67516525 0.68083097
 0.68744098 0.68366383 0.6789424  0.67610954 0.66949953]"
mmlu,clean,Llama-3.1-8B-Instruct,20,[0.68083097 0.67610954 0.68649669 0.68366383 0.68460812 0.68366383]
mmlu,clean,Llama-3.1-8B-Instruct,25,[0.68555241]
multiarith,clean,Llama-3.1-8B-Instruct,1,"[0.73888889 0.77777778 0.80555556 0.71111111 0.73333333 0.7
 0.77777778 0.76666667 0.76111111 0.78333333 0.70555556 0.75
 0.75555556 0.76111111 0.76111111 0.72222222 0.79444444 0.70555556
 0.70555556 0.73333333 0.72777778 0.73333333 0.75555556 0.73333333
 0.76666667]"
multiarith,clean,Llama-3.1-8B-Instruct,5,"[0.95       0.95555556 0.95555556 0.96666667 0.95555556 0.98333333
 0.99444444 0.98333333 0.94444444 0.97222222 0.95       0.92222222
 0.97222222 0.95       0.97222222 0.93333333 0.91666667 0.96666667
 0.96666667 0.96111111 0.96111111]"
multiarith,clean,Llama-3.1-8B-Instruct,10,"[0.98888889 0.99444444 0.99444444 0.99444444 0.99444444 0.99444444
 0.99444444 1.         0.99444444 0.99444444 0.99444444 1.
 1.         1.         0.99444444 0.99444444]"
multiarith,clean,Llama-3.1-8B-Instruct,15,"[1.         0.99444444 0.99444444 0.99444444 0.99444444 0.99444444
 0.99444444 1.         1.         1.         1.        ]"
multiarith,clean,Llama-3.1-8B-Instruct,20,[0.99444444 0.99444444 0.99444444 1.         1.         0.99444444]
multiarith,clean,Llama-3.1-8B-Instruct,25,[1.]
gsm,clean,Mistral-7B-Instruct-v0.3,1,"[0.42456406 0.43290371 0.44427597 0.43517817 0.42077331 0.40940106
 0.43062926 0.41925701 0.42759666 0.42835481 0.41394996 0.41470811
 0.42304776 0.42304776 0.44124337 0.43593632 0.43214556 0.42532221
 0.44275967 0.43972707 0.42759666 0.44200152 0.41394996 0.41849886
 0.43442002]"
gsm,clean,Mistral-7B-Instruct-v0.3,5,"[0.58074299 0.58832449 0.58680819 0.54283548 0.54056103 0.52918878
 0.53222138 0.54131918 0.54056103 0.54510993 0.53373768 0.54131918
 0.53449583 0.53449583 0.56254738 0.56937074 0.55799848 0.55420773
 0.55496588 0.55648218 0.58301744]"
gsm,clean,Mistral-7B-Instruct-v0.3,10,"[0.6535254  0.64973465 0.6641395  0.6520091  0.6459439  0.6550417
 0.6535254  0.64973465 0.6474602  0.66338135 0.6535254  0.66641395
 0.6747536  0.66641395 0.6732373  0.6702047 ]"
gsm,clean,Mistral-7B-Instruct-v0.3,15,"[0.68915845 0.68612585 0.69067475 0.6944655  0.68764215 0.69067475
 0.70053071 0.69825625 0.6929492  0.6929492  0.69370735]"
gsm,clean,Mistral-7B-Instruct-v0.3,20,[0.71872631 0.71645186 0.71721001 0.71872631 0.71493556 0.72024261]
gsm,clean,Mistral-7B-Instruct-v0.3,25,[0.73237301]
math,clean,Mistral-7B-Instruct-v0.3,1,"[0.03 0.06 0.07 0.06 0.06 0.05 0.07 0.05 0.05 0.08 0.05 0.08 0.07 0.06
 0.08 0.05 0.11 0.08 0.04 0.12 0.08 0.08 0.06 0.07 0.09]"
math,clean,Mistral-7B-Instruct-v0.3,5,"[0.08 0.08 0.1  0.07 0.08 0.09 0.12 0.09 0.11 0.1  0.09 0.1  0.09 0.07
 0.1  0.11 0.16 0.13 0.09 0.14 0.1 ]"
math,clean,Mistral-7B-Instruct-v0.3,10,"[0.16 0.16 0.15 0.16 0.15 0.13 0.11 0.12 0.14 0.13 0.15 0.18 0.16 0.15
 0.16 0.16]"
math,clean,Mistral-7B-Instruct-v0.3,15,[0.16 0.15 0.16 0.16 0.17 0.15 0.14 0.15 0.15 0.16 0.17]
math,clean,Mistral-7B-Instruct-v0.3,20,[0.18 0.17 0.17 0.18 0.17 0.14]
math,clean,Mistral-7B-Instruct-v0.3,25,[0.18]
mmlu,clean,Mistral-7B-Instruct-v0.3,1,"[0.37016053 0.36071766 0.3720491  0.38243626 0.37016053 0.38243626
 0.37488196 0.34560907 0.3720491  0.39943343 0.38149197 0.35694051
 0.39093484 0.38054769 0.37299339 0.38432483 0.38432483 0.34372049
 0.36355052 0.36827195 0.38149197 0.39471199 0.37677054 0.38243626
 0.35977337]"
mmlu,clean,Mistral-7B-Instruct-v0.3,5,"[0.42398489 0.42681775 0.42492918 0.41831917 0.401322   0.41265345
 0.41359773 0.40509915 0.43342776 0.44287063 0.4230406  0.42587347
 0.43437205 0.4230406  0.42020774 0.41643059 0.40321058 0.42209632
 0.41831917 0.4230406  0.4381492 ]"
mmlu,clean,Mistral-7B-Instruct-v0.3,10,"[0.44192635 0.42587347 0.42965061 0.44098206 0.44098206 0.44192635
 0.44381492 0.44381492 0.44287063 0.44948064 0.44570349 0.44192635
 0.44759207 0.43909348 0.44475921 0.44570349]"
mmlu,clean,Mistral-7B-Instruct-v0.3,15,"[0.44003777 0.44948064 0.44853636 0.44381492 0.44475921 0.44853636
 0.44287063 0.44759207 0.4523135  0.45514636 0.4523135 ]"
mmlu,clean,Mistral-7B-Instruct-v0.3,20,[0.44664778 0.44948064 0.44003777 0.45042493 0.4598678  0.44948064]
mmlu,clean,Mistral-7B-Instruct-v0.3,25,[0.45514636]
multiarith,clean,Mistral-7B-Instruct-v0.3,1,"[0.69444444 0.68888889 0.66666667 0.72777778 0.71111111 0.73888889
 0.72222222 0.7        0.69444444 0.7        0.75       0.72777778
 0.65555556 0.7        0.7        0.72222222 0.67777778 0.75
 0.72777778 0.76111111 0.68333333 0.72777778 0.68888889 0.68888889
 0.71111111]"
multiarith,clean,Mistral-7B-Instruct-v0.3,5,"[0.93333333 0.91111111 0.9        0.91111111 0.92222222 0.90555556
 0.92222222 0.91666667 0.93333333 0.91666667 0.91111111 0.90555556
 0.91666667 0.91111111 0.9        0.88333333 0.9        0.89444444
 0.92222222 0.92777778 0.92222222]"
multiarith,clean,Mistral-7B-Instruct-v0.3,10,"[0.95       0.95555556 0.95       0.97222222 0.96111111 0.96666667
 0.95555556 0.95555556 0.96666667 0.95555556 0.95555556 0.96666667
 0.97222222 0.96666667 0.97222222 0.97222222]"
multiarith,clean,Mistral-7B-Instruct-v0.3,15,"[0.96111111 0.96111111 0.95       0.96111111 0.95       0.96666667
 0.96666667 0.97222222 0.97222222 0.98333333 0.98333333]"
multiarith,clean,Mistral-7B-Instruct-v0.3,20,[0.97777778 0.96111111 0.98333333 0.97777778 0.97777778 0.97777778]
multiarith,clean,Mistral-7B-Instruct-v0.3,25,[0.98888889]
gsm,clean,Qwen3-14B,1,"[0.86808188 0.87717968 0.87111448 0.87717968 0.88021228 0.88324488
 0.88097043 0.88400303 0.86808188 0.87642153 0.87035633 0.87945413
 0.87414708 0.87490523 0.87263078 0.87035633 0.87642153 0.87414708
 0.88172858 0.86580743 0.87111448 0.87263078 0.88324488 0.86656558
 0.87490523]"
gsm,clean,Qwen3-14B,5,"[0.91357089 0.92115239 0.91584534 0.91963609 0.91887794 0.92115239
 0.91811979 0.92342684 0.92342684 0.92570129 0.92342684 0.92418499
 0.92494314 0.92191054 0.92115239 0.92191054 0.92266869 0.92418499
 0.91963609 0.92115239 0.92191054]"
gsm,clean,Qwen3-14B,10,"[0.93252464 0.93025019 0.92949204 0.92949204 0.92645944 0.93100834
 0.93025019 0.93404094 0.93176649 0.93252464 0.93252464 0.93025019
 0.93707354 0.93328279 0.92570129 0.92949204]"
gsm,clean,Qwen3-14B,15,"[0.93404094 0.93176649 0.93328279 0.93555724 0.93328279 0.93328279
 0.93252464 0.93555724 0.93252464 0.93479909 0.93025019]"
gsm,clean,Qwen3-14B,20,[0.93252464 0.93479909 0.93328279 0.93555724 0.93328279 0.93252464]
gsm,clean,Qwen3-14B,25,[0.93404094]
math,clean,Qwen3-14B,1,"[0.53 0.57 0.54 0.54 0.51 0.5  0.56 0.53 0.52 0.55 0.52 0.57 0.5  0.51
 0.47 0.46 0.55 0.52 0.56 0.53 0.5  0.52 0.53 0.44 0.51]"
math,clean,Qwen3-14B,5,"[0.63 0.67 0.64 0.64 0.62 0.6  0.61 0.63 0.63 0.66 0.62 0.61 0.58 0.63
 0.58 0.61 0.66 0.66 0.67 0.65 0.61]"
math,clean,Qwen3-14B,10,"[0.68 0.69 0.7  0.71 0.69 0.66 0.68 0.69 0.69 0.71 0.67 0.67 0.67 0.71
 0.7  0.71]"
math,clean,Qwen3-14B,15,[0.72 0.73 0.74 0.74 0.72 0.71 0.74 0.73 0.74 0.73 0.71]
math,clean,Qwen3-14B,20,[0.75 0.76 0.77 0.77 0.75 0.74]
math,clean,Qwen3-14B,25,[0.77]
mmlu,clean,Qwen3-14B,1,"[0.82152975 0.81964117 0.82436261 0.82341832 0.80925401 0.83852691
 0.82058546 0.81397545 0.81114259 0.81680831 0.82152975 0.82813975
 0.82908404 0.82058546 0.82813975 0.81964117 0.82436261 0.82436261
 0.81964117 0.81208687 0.81208687 0.83097262 0.82625118 0.81680831
 0.82719547]"
mmlu,clean,Qwen3-14B,5,"[0.83286119 0.84324835 0.84419263 0.84135977 0.83852691 0.83758263
 0.82436261 0.82908404 0.83097262 0.83380548 0.83852691 0.83852691
 0.83758263 0.84041549 0.83758263 0.83380548 0.8394712  0.83663834
 0.83097262 0.83097262 0.83663834]"
mmlu,clean,Qwen3-14B,10,"[0.84230406 0.8394712  0.83474976 0.83663834 0.83474976 0.83758263
 0.83286119 0.83569405 0.83097262 0.83474976 0.83569405 0.83663834
 0.83474976 0.84324835 0.83380548 0.83758263]"
mmlu,clean,Qwen3-14B,15,"[0.83002833 0.83097262 0.83286119 0.83286119 0.83380548 0.83663834
 0.83286119 0.8319169  0.8319169  0.83002833 0.83380548]"
mmlu,clean,Qwen3-14B,20,[0.83569405 0.83286119 0.83097262 0.83569405 0.83002833 0.83663834]
mmlu,clean,Qwen3-14B,25,[0.8319169]
multiarith,clean,Qwen3-14B,1,"[0.97777778 0.98333333 0.98888889 0.97777778 0.98888889 0.98333333
 0.99444444 0.98333333 0.98333333 0.98333333 0.97222222 0.97222222
 0.98888889 0.98888889 0.98333333 0.98333333 0.97777778 0.97222222
 0.98333333 0.98333333 0.98333333 0.97777778 0.97777778 0.96111111
 0.98888889]"
multiarith,clean,Qwen3-14B,5,"[0.99444444 1.         0.99444444 0.99444444 1.         1.
 1.         0.99444444 1.         0.99444444 0.99444444 0.99444444
 0.99444444 0.99444444 0.99444444 0.99444444 0.99444444 0.99444444
 0.99444444 0.99444444 0.99444444]"
multiarith,clean,Qwen3-14B,10,"[1.         1.         1.         1.         0.99444444 0.99444444
 0.99444444 0.99444444 0.99444444 0.99444444 0.99444444 0.99444444
 0.99444444 0.99444444 0.99444444 0.99444444]"
multiarith,clean,Qwen3-14B,15,"[0.99444444 1.         0.99444444 0.99444444 0.99444444 0.99444444
 0.99444444 0.99444444 0.99444444 0.99444444 0.99444444]"
multiarith,clean,Qwen3-14B,20,[0.99444444 0.99444444 0.99444444 0.99444444 0.99444444 0.99444444]
multiarith,clean,Qwen3-14B,25,[0.99444444]
gsm,clean,Qwen3-4B,1,"[0.81576952 0.81652767 0.82031842 0.81576952 0.81501137 0.82410917
 0.82183472 0.82789992 0.81804397 0.83093252 0.82941622 0.81501137
 0.82638362 0.81425322 0.81425322 0.82638362 0.82335102 0.82259287
 0.81122062 0.80742987 0.81273692 0.82941622 0.81956027 0.80742987
 0.81728582]"
gsm,clean,Qwen3-4B,5,"[0.90447309 0.89689158 0.89082638 0.89082638 0.90219864 0.89310083
 0.88779378 0.89537528 0.89234268 0.90295679 0.90371494 0.90674754
 0.90447309 0.89613343 0.89537528 0.89385898 0.89461713 0.90219864
 0.90295679 0.90447309 0.90523124]"
gsm,clean,Qwen3-4B,10,"[0.91963609 0.91660349 0.91811979 0.91736164 0.91281274 0.91357089
 0.91660349 0.91357089 0.91205459 0.91887794 0.91584534 0.91736164
 0.91736164 0.91281274 0.91963609 0.91811979]"
gsm,clean,Qwen3-4B,15,"[0.92191054 0.92342684 0.92115239 0.92039424 0.92342684 0.92266869
 0.91963609 0.91887794 0.92191054 0.92266869 0.92418499]"
gsm,clean,Qwen3-4B,20,[0.92570129 0.92570129 0.92721759 0.92191054 0.92342684 0.92645944]
gsm,clean,Qwen3-4B,25,[0.93025019]
math,clean,Qwen3-4B,1,"[0.47 0.5  0.5  0.52 0.51 0.51 0.53 0.5  0.53 0.52 0.58 0.54 0.58 0.49
 0.56 0.59 0.5  0.53 0.49 0.55 0.6  0.49 0.51 0.47 0.54]"
math,clean,Qwen3-4B,5,"[0.63 0.65 0.67 0.69 0.65 0.64 0.66 0.66 0.65 0.66 0.66 0.65 0.66 0.63
 0.62 0.66 0.63 0.62 0.64 0.66 0.64]"
math,clean,Qwen3-4B,10,"[0.68 0.71 0.69 0.7  0.7  0.69 0.7  0.69 0.7  0.69 0.69 0.68 0.67 0.68
 0.66 0.68]"
math,clean,Qwen3-4B,15,[0.73 0.72 0.7  0.71 0.71 0.7  0.72 0.71 0.72 0.71 0.72]
math,clean,Qwen3-4B,20,[0.73 0.74 0.71 0.71 0.72 0.72]
math,clean,Qwen3-4B,25,[0.73]
mmlu,clean,Qwen3-4B,1,"[0.82908404 0.82813975 0.82813975 0.8319169  0.84419263 0.82247403
 0.82436261 0.81869688 0.82908404 0.84041549 0.82247403 0.8319169
 0.83474976 0.83474976 0.84041549 0.82152975 0.8319169  0.82530689
 0.83097262 0.82530689 0.82813975 0.82436261 0.82247403 0.82152975
 0.82908404]"
mmlu,clean,Qwen3-4B,5,"[0.84891407 0.85269122 0.84796978 0.84985836 0.84985836 0.8470255
 0.85080264 0.85080264 0.84608121 0.85363551 0.85457979 0.85363551
 0.8611898  0.85269122 0.85363551 0.84608121 0.84608121 0.8470255
 0.84513692 0.84419263 0.84135977]"
mmlu,clean,Qwen3-4B,10,"[0.85552408 0.84796978 0.85363551 0.85741265 0.85835694 0.85457979
 0.85552408 0.85457979 0.85174693 0.85080264 0.85269122 0.85363551
 0.85174693 0.84796978 0.84985836 0.84796978]"
mmlu,clean,Qwen3-4B,15,"[0.85552408 0.85552408 0.86024551 0.8611898  0.86024551 0.85741265
 0.85646837 0.85457979 0.85457979 0.85080264 0.85457979]"
mmlu,clean,Qwen3-4B,20,[0.85741265 0.85835694 0.85835694 0.86024551 0.85741265 0.85363551]
mmlu,clean,Qwen3-4B,25,[0.85835694]
multiarith,clean,Qwen3-4B,1,"[0.97777778 0.96666667 0.97777778 0.96666667 0.96666667 0.97777778
 0.97777778 0.96666667 0.97222222 0.95555556 0.96666667 0.98333333
 0.97222222 0.98333333 0.97222222 0.97777778 0.98333333 0.95555556
 0.96111111 0.98333333 0.97777778 0.97222222 0.95555556 0.97222222
 0.97777778]"
multiarith,clean,Qwen3-4B,5,"[0.99444444 0.99444444 1.         1.         0.99444444 0.99444444
 0.99444444 0.99444444 0.99444444 0.99444444 0.99444444 1.
 1.         1.         1.         1.         1.         0.99444444
 0.98888889 0.99444444 0.99444444]"
multiarith,clean,Qwen3-4B,10,"[0.99444444 0.99444444 0.99444444 0.99444444 0.99444444 0.99444444
 0.99444444 0.99444444 1.         1.         1.         1.
 1.         1.         1.         1.        ]"
multiarith,clean,Qwen3-4B,15,"[0.99444444 1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.        ]"
multiarith,clean,Qwen3-4B,20,[1. 1. 1. 1. 1. 1.]
multiarith,clean,Qwen3-4B,25,[1.]
